pipeline,query,rank,doc_id,similarity,is_relevant,P@5,R@5,RR,document_preview
B,deep learning healthcare,2,9252,0.29549165790615023,0,0.0,0.0,0.017543859649122806,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, "
B,deep learning healthcare,3,11119,0.2753007259837049,0,0.0,0.0,0.017543859649122806,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys
B,deep learning healthcare,4,3370,0.237833207479928,0,0.0,0.0,0.017543859649122806,"These two healthcare REITs are trading for dirt-cheap valuations despite high dividends and a solid history of growth. Investing in real estate investment trusts, or REITs, is one of the best ways to "
B,deep learning healthcare,5,15168,0.22681228796236722,0,0.0,0.0,0.017543859649122806,"AI and deep learning is serious business at NVIDIA, but that doesn’t mean you can’t have a ton of fun putting it to work. Researchers at NVIDIA challenge themselves each day to answer the “what ifs” t"
B,medical devices pharmacy,1,12658,0.49928109543721017,1,0.4,1.0,1.0,"This guidance is for pharmacists who handle, use and sell/supply medical devices. What to do with medical device alerts. Why this guidance is important for you? What types of medical devices are sold "
B,medical devices pharmacy,2,1845,0.3970876130053281,0,0.4,1.0,1.0,Whoa!! The Take care Pharmacy Mobile application is available in App stores now. This app brings the pharmacy to your mobile device.
B,medical devices pharmacy,3,1078,0.3850784228010414,0,0.4,1.0,1.0,"Pharmacy job opportunities at Paydens Limited. Pharmacists, dispensing technicians, pharmacist locums, relief pharmacy managers and pharmacy pre-registration placements available throughout the South-"
B,medical devices pharmacy,4,28742,0.36678678771558326,1,0.4,1.0,1.0,"Northern Pharmacy & Medical Equipment has a full-time staff of male and female Orthopedic Fitters to serve you. Our Fitters are certified to fit compression stockings, diabetic shoes, mastectomy prost"
B,medical devices pharmacy,5,1815,0.3411855338037717,0,0.4,1.0,1.0,"U.S. Pharmacist is a monthly journal dedicated to providing the nation's pharmacists with up-to-date, authoritative, peer-reviewed clinical articles relevant to contemporary pharmacy practice in a var"
B,healthcare big data,1,11119,0.6012624030251751,1,0.2,1.0,1.0,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys
B,healthcare big data,2,4770,0.3643653834860589,0,0.2,1.0,1.0,One of the many changes that the new Regulation will deliver when it comes into force on 25 May 2018 is a new statutory obligation on data security that data processors must observe above and beyond c
B,healthcare big data,3,2153,0.34930492741857383,0,0.2,1.0,1.0,"The democratization of data is a real phenomenon, but building a sustainable data democracy means truly giving power to the people. The alternative is just a shift of power from traditional data analy"
B,healthcare big data,4,1779,0.33856453666569253,0,0.2,1.0,1.0,"How do companies innovate with big data? It starts with human-centered design thinking. As the mom of a toddler, I spend most of my waking hours covered in a mixture of applesauce, milk, and general b"
B,healthcare big data,5,11979,0.3379286163859137,0,0.2,1.0,1.0,Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broade
B,GraphQL open source foundation,1,1963,0.17596499975744845,0,0.0,0.0,0.05,"What does it take to get a start-up going? Well, nothing much; just a great idea, a few devoted professionals and, of course, funds. Helical IT Solutions seems to have them all. A company that started"
B,GraphQL open source foundation,2,19471,0.16768147448084533,0,0.0,0.0,0.05,"Of course the open source scene is changing, but how much of that is the unavoidable transformation that a healthy scene goes through, and how much is fundamental? The Free Software movement as we kno"
B,GraphQL open source foundation,3,10006,0.15932117396645326,0,0.0,0.0,0.05,"This KB article provides a better understanding of how other forms of source control integration work. Whether you’re using SVN, Mercurial, Perforce, or most anything else, Source Control Integration "
B,GraphQL open source foundation,4,11930,0.156604717126166,0,0.0,0.0,0.05,The W3C moved beyond its initial Web of Things Interest Group into a Web of Things Working Group. The Working Group will work towards creating official W3C Recommendations for the IoT industry. Buildi
B,GraphQL open source foundation,5,25092,0.15420753416677102,0,0.0,0.0,0.05,"This is the second half of a two part article. If you would like to read part one please click here. 10. Private foundations cannot conduct political activities. All Canadian registered charities, reg"
C,natural language processing,1,25428,0.34825376971205985,0,0.0,0.0,0.14285714285714285,"Note: If you're on an iPhone, you cannot change the language of Facebook through the mobile app. Instead, Facebook uses whatever language your phone is set up to use, so to change it you have to pick "
C,natural language processing,2,8705,0.3293114411722252,0,0.0,0.0,0.14285714285714285,"These regulations may be called the Food Safety and Standards (Food Products Standards and Food Additives) Amendment Regulations, 2019. They shall come into force on the date of their publication in t"
C,natural language processing,3,5699,0.28694719510566885,0,0.0,0.0,0.14285714285714285,"Truth-value gaps in natural language. Waldo, James Hewins, ""Truth-value gaps in natural language."" (1980). Doctoral Dissertations 1896 - February 2014. 2124."
C,natural language processing,4,4075,0.2866518602852343,0,0.0,0.0,0.14285714285714285,"Looking for Spanish language instructor to improve my reading, writing and speaking skills. We require the tutor to travel to our location at Gwal Pahari. A certification or degree in Spanish Language"
C,natural language processing,5,701,0.2768665168535852,0,0.0,0.0,0.14285714285714285,"Program in Teaching French as a Foreign Language was established in 1985 under the Department of Foreign Education. 2 full professors,3 assistant professors and 3 research assistant are currently work"
C,deep learning healthcare,1,9252,0.27349656646084936,0,0.0,0.0,0.01818181818181818,"SAN DIEGO AND WASHINGTON, D.C. – Sept. 5, 2018 – West Health, a family of nonpartisan, nonprofit organizations focused on healthcare research, policy and philanthropy, has appointed Cristina Boccuti, "
C,deep learning healthcare,2,11979,0.2706457219324764,0,0.0,0.0,0.01818181818181818,Doctorate of Healthcare Organization Program is designed for the healthcare professionals who are working in healthcare organizations especially in hospitals or in clinics and who would like to broade
C,deep learning healthcare,3,6123,0.262964781533902,0,0.0,0.0,0.01818181818181818,"With today’s advancement in technology, it is becoming more convenient than ever before to earn a Bachelor’s degree in a health-related field online. Some specializations, such as nutrition or public "
C,deep learning healthcare,4,11119,0.26112612089931575,0,0.0,0.0,0.01818181818181818,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys
C,deep learning healthcare,5,7564,0.22152839772971447,0,0.0,0.0,0.01818181818181818,"would I have learned, learnt? would you have learned, learnt? would he have learned, learnt? would we have learned, learnt? would they have learned, learnt? would I have been learning? would you have "
C,medical devices pharmacy,1,26124,0.5478219192469035,0,0.2,0.5,0.5,Prime Rx Pharmacy is an independently owned and operated pharmacy. Prime Rx Pharmacy is an independently owned and operated pharmacy. and operated pharmacy.Prime Rx Pharmacy is an independently owned 
C,medical devices pharmacy,2,12658,0.5064144089753888,1,0.2,0.5,0.5,"This guidance is for pharmacists who handle, use and sell/supply medical devices. What to do with medical device alerts. Why this guidance is important for you? What types of medical devices are sold "
C,medical devices pharmacy,3,1845,0.407503582414121,0,0.2,0.5,0.5,Whoa!! The Take care Pharmacy Mobile application is available in App stores now. This app brings the pharmacy to your mobile device.
C,medical devices pharmacy,4,1078,0.3829445018076665,0,0.2,0.5,0.5,"Pharmacy job opportunities at Paydens Limited. Pharmacists, dispensing technicians, pharmacist locums, relief pharmacy managers and pharmacy pre-registration placements available throughout the South-"
C,medical devices pharmacy,5,1519,0.37366613841795465,0,0.2,0.5,0.5,"""Fast and friendly pharmacy! They always welcome me by name along with a smile."" Here at Hillcrest Dispensary, we believe that being a community pharmacy means your experience should be personalized a"
C,healthcare big data,1,11119,0.6277315009770232,1,0.2,1.0,1.0,The opportunities offered by Big Data will only materialize when healthcare systems move beyond the mere collection of large amounts of data. Linkage of previously separated data sets and their analys
C,healthcare big data,2,10659,0.35452119588746706,0,0.2,1.0,1.0,Join data technology experts from Pivotal to get the latest perspective on how big data analytics and applications are transforming organizations across industries. This event provides an opportunity 
C,healthcare big data,3,17001,0.35041347427293934,0,0.2,1.0,1.0,"Organizations around the globe are facing a similar problem: how to make sure the data they’re looking at accurately reflects the data they need to make the right business decisions. Kash Medhi, Senio"
C,healthcare big data,4,4770,0.32829619408575095,0,0.2,1.0,1.0,One of the many changes that the new Regulation will deliver when it comes into force on 25 May 2018 is a new statutory obligation on data security that data processors must observe above and beyond c
C,healthcare big data,5,2153,0.306209123286168,0,0.2,1.0,1.0,"The democratization of data is a real phenomenon, but building a sustainable data democracy means truly giving power to the people. The alternative is just a shift of power from traditional data analy"
C,GraphQL open source foundation,1,25718,0.24384758959164882,0,0.0,0.0,0.008333333333333333,"Graphlet Degree Centrality (GDC) captures the density and topological complexity of up to 4-deep network neighborhood around a node. Graphlets are small, connected, induced, non-isomorphic subgraphs o"
C,GraphQL open source foundation,2,6497,0.2343609145373559,0,0.0,0.0,0.008333333333333333,A dataset that just hold a single model as the default graph. It is particularly appropriate for use with inference models. Does the dataset contain a model with the name supplied? Set the default gra
C,GraphQL open source foundation,3,8654,0.22744203564360285,0,0.0,0.0,0.008333333333333333,Palette Graphik. hourglass graphik eyeshadow palette ravine beautylish. the new graphik eyeshadow palettes from hourglass a review of expose and vista. hourglass ravine graphik eyeshadow palette revie
C,GraphQL open source foundation,4,5515,0.22715872056547964,0,0.0,0.0,0.008333333333333333,"Graphene growth on copper in cold wall chemical vapor deposition (CVD) is not an inherently self- limiting process, which means that adlayers appear as long as there is sufficient growth time. The gro"
C,GraphQL open source foundation,5,27325,0.2220924416084118,0,0.0,0.0,0.008333333333333333,"Hire the best MySQL developers near Dallas. Toptal is a marketplace for top remote MySQL developers, engineers, programmers, coders, architects, and consultants. Top companies and start-ups in Dallas "
